epsilon_beta1,epsilon_beta2,F_preparation,F_after_hold,minimum_F_hold,C_after_hold,norm_error,photonic_population_after_hold
0.04,-0.02,0.995875361173576,0.995828482153693,0.995766860087852,0.995814588595266,8.65973959207622e-14,0.00415762428796311
0.05,-0.02,0.995869889803876,0.995809962050265,0.995733583850751,0.995795402090011,1.30340183090993e-13,0.004175477989603
0.06,-0.02,0.995854708327995,0.99578209346129,0.995691314126692,0.995766833573242,5.26245713672324e-14,0.00420264665064114
0.07,-0.02,0.995830156184007,0.995745218808846,0.995640396593075,0.995729224604179,1.73971947958762e-13,0.00423878698632192
0.08,-0.02,0.995796580954012,0.995699688387187,0.995581184514903,0.995682924637807,2.34923192010683e-13,0.00428354786320284
0.09,-0.02,0.995754337545535,0.995645859539076,0.99551403791919,0.995628290204959,2.95208302247829e-13,0.00433657112651744
0.1,-0.02,0.995703787361075,0.995584095826298,0.995439322763558,0.995565684086563,1.37778677355982e-13,0.00439749243395443
-0.1,-0.01,0.994810140895804,0.994979671790998,0.994578294418356,0.994972779267635,2.42472708578134e-13,0.0050134356858631
-0.09,-0.01,0.994970024754901,0.995122005463558,0.994763646276381,0.995114831537442,2.66231481305113e-13,0.0048708206100631
-0.08,-0.01,0.995116746412407,0.995251467014869,0.99493550173195,0.995243991309471,2.75446332409501e-13,0.00474105727945742
-0.07,-0.01,0.995250451549501,0.995368208953299,0.995093995646253,0.995360410249973,2.12163620005867e-13,0.00462399234316578
-0.06,-0.01,0.995371304029541,0.995472401704266,0.995239281427284,0.99546425792053,4.57411886145564e-14,0.00451945451197248
-0.05,-0.01,0.99547948533948,0.995564233045708,0.995371530480289,0.99555572121584,1.25011112572793e-13,0.00442725512454709
-0.04,-0.01,0.995575194002317,0.995643907514285,0.995490931618817,0.995635003772422,1.0946799022804e-13,0.00434718874395719
-0.03,-0.01,0.995658644934427,0.995711645775786,0.99559769044608,0.995702325341705,5.52891066263328e-14,0.00427903379018718
-0.02,-0.01,0.995730068817987,0.995767683979453,0.995692028710763,0.995757921147194,3.10862446895044e-14,0.00422255318831721
-0.01,-0.01,0.995789711410143,0.99581227307341,0.99577418363756,0.995802041202909,2.04281036531029e-14,0.00417749505610535
