xi_t,P_gg_with_CD,P_eg_with_CD,P_ge_with_CD,P_photon_with_CD,concurrence_target,concurrence_without_CD,concurrence_with_CD,bell_fidelity_without_CD,bell_fidelity_with_CD,conditional_bell_fidelity_with_CD,u1,u2,Omega_pi_over_xi,Omega_CD_over_xi
16.42,1.10144093722701e-19,0.606889494768657,0.388963569842324,0.00414693538892171,0.977124298779524,0.014855621856769,0.971715811099153,0.502567120044745,0.983784437855067,0.987881117019378,0.564684915579029,0.700807353070375,0,0.0476716382023188
16.43,1.10144093722701e-19,0.606426092357065,0.389425754312769,0.00414815333006959,0.977326398348796,0.0148694304742443,0.971921680900462,0.502566541001766,0.983886763785147,0.987985077374011,0.565018570707923,0.700538374934004,0,0.047566830069821
16.44,1.10144093722701e-19,0.605963618039006,0.389887023320998,0.00414935863989879,0.977527169302553,0.0148832152539935,0.972126229001255,0.502565958409378,0.98398843518063,0.988088368188251,0.565351363349661,0.700269830821434,0,0.0474619008134639
16.45,1.10144093722701e-19,0.605502074007234,0.390347374601629,0.00415055139104096,0.977726616797054,0.0148969761673543,0.972329460429056,0.502565372292179,0.984089454518959,0.988190992015579,0.565683293428841,0.700001722523238,0,0.0473568512169764
16.46,1.10144093722701e-19,0.605041462441063,0.390806805902695,0.00415173165614471,0.977924745991051,0.0149107131859789,0.972531380214104,0.502564782674797,0.984189824278931,0.988292951410944,0.566014360875999,0.699734051824073,0,0.0472516820658551
16.47,1.10144093722701e-19,0.60458178550637,0.39126531498567,0.0041528995078632,0.978121562045657,0.0149244262818377,0.972731993389235,0.502564189581896,0.984289546940637,0.988394248930692,0.566344565627599,0.69946682050265,0,0.0471463941473635
16.48,1.10144093722701e-19,0.604123045355577,0.391722899625484,0.00415405501884173,0.978317070124199,0.0149381154272217,0.97293130498975,0.502563593038178,0.984388624985406,0.988494887132494,0.566673907626028,0.699200030331699,0,0.0470409882505324
16.49,1.10144093722701e-19,0.603665244127656,0.392179557610542,0.00415519826170541,0.978511275392084,0.0149517805947454,0.973129320053289,0.502562993068382,0.984487060895743,0.988594868575274,0.567002386819581,0.698933683077943,0,0.0469354651661593
16.5,1.10144093722701e-19,0.603208383948112,0.392635286742744,0.00415632930904692,0.978704183016653,0.0149654217573502,0.9733260436197,0.502562389697292,0.984584857155278,0.988694195819142,0.567330003162454,0.698667780502071,0,0.0468298256868094
16.51,1.10144093722701e-19,0.602752466928985,0.393090084837504,0.00415744823341437,0.978895798167046,0.0149790388883069,0.973521480730917,0.502561782949738,0.984682016248703,0.988792871425319,0.567656756614735,0.698402324358703,0,0.0467240706068143
16.52,1.10144093722701e-19,0.60229749516884,0.393543949723764,0.00415855510729915,0.979086126014062,0.0149926319612185,0.973715636430832,0.502561172850594,0.984778540661718,0.988890897956071,0.567982647142396,0.698137316396364,0,0.0466182007222737
16.53,1.10144093722701e-19,0.601843470752763,0.393996879244016,0.00415965000312404,0.979275171730017,0.0150062009500231,0.973908515765164,0.502560559424791,0.984874432880971,0.988988277974634,0.568307674717277,0.697872758357454,0,0.0465122168310535
16.54,1.10144093722701e-19,0.601390395752353,0.394448871254319,0.00416073299323122,0.97946294048861,0.0150197458289966,0.974100123781337,0.502559942697308,0.984969695394004,0.989085014045148,0.568631839317085,0.69760865197822,0,0.0464061197327877
16.55,1.10144093722701e-19,0.600938272225717,0.394899923624315,0.00416180414987052,0.979649437464783,0.0150332665727551,0.974290465528353,0.502559322693182,0.985064330689193,0.989181108732585,0.568955140925378,0.697344998988724,0,0.0462999102288766
16.56,1.10144093722701e-19,0.60048710221747,0.395350034237246,0.00416286354518767,0.97983466783458,0.015046763156258,0.974479546056665,0.502558699437509,0.98515834125569,0.989276564602679,0.569277579531561,0.697081801112816,0,0.0461935891224881
16.57,1.10144093722701e-19,0.600036887758721,0.395799200989969,0.00416391125121275,0.980018636775013,0.0150602355548102,0.974667370418051,0.502558072955445,0.985251729583371,0.989371384221856,0.56959915513087,0.696819060068106,0,0.0460871572185573
16.58,1.10144093722701e-19,0.599587630867074,0.39624742179298,0.00416494733984868,0.980201349463926,0.0150736837440645,0.974853943665489,0.502557443272208,0.985344498162772,0.989465570157166,0.56991986772437,0.696556777565933,0,0.0459806153237861
16.59,1.10144093722701e-19,0.599139333546623,0.39669469457042,0.00416597188285981,0.980382811079852,0.0150871077000246,0.975039270853031,0.502556810413085,0.985436649485037,0.989559124976212,0.57023971731894,0.696294955311336,0,0.0458739642466436
16.6,1.10144093722701e-19,0.598691997787944,0.397141017260098,0.00416698495186068,0.980563026801884,0.015100507399047,0.975223357035678,0.502556174403429,0.985528186041861,0.989652051247081,0.570558703927267,0.696033595003027,0,0.0457672047973665
16.61,1.10144093722701e-19,0.598245625568093,0.397586387813505,0.00416798661830489,0.980742001809531,0.0151138828178434,0.975406207269256,0.502555535268663,0.985619110325427,0.989744351538278,0.570876827567833,0.695772698333361,0,0.0456603377879583
16.62,1.10144093722701e-19,0.597800218850601,0.398030804195828,0.00416897695347405,0.980919741282589,0.0151272339334832,0.975587826610288,0.502554893034286,0.985709424828359,0.98983602841865,0.571194088264911,0.695512266988309,0,0.0455533640321895
16.63,1.10144093722701e-19,0.597355779585469,0.398474264385967,0.00416995602846687,0.981096250401001,0.0151405607233957,0.975768220115875,0.502554247725868,0.985799132043655,0.989927084457327,0.571510486048552,0.695252302647426,0,0.0454462843455978
